id,variacao_nome,exercicio,cloudinary_atual,status,arquivo_gif,score,observacao
665,Reto barra,Supino,exercicios/gif/supino_inclinado_com_barra,VALIDO,,,
666,Reto halter,Supino,,SEM_MATCH,,,
667,Inclinado barra,Supino,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779667830/exercicios/gif/variacao-667-inclinado-barra,VALIDO,,,
668,Inclinado halter,Supino,,SEM_MATCH,,,
669,Máquina,Supino,exercicios/gif/nfhgtschfnb0bb1iibfa,VALIDO,,,
670,Reto halter,Crucifixo,variacao-670-reto-halter,VALIDO,,,
671,Inclinado halter,Crucifixo,exercicios/gif/hwimuve9pczktcgabhcl,VALIDO,,,
672,Máquina,Crucifixo,,SEM_MATCH,,,
673,Cross (cabo),Crucifixo,,SEM_MATCH,,,
674,Curvada barra,Remada,exercicios/gif/srbntgbryqhb8feoxhhg,VALIDO,,,
675,Unilateral halter,Remada,,SEM_MATCH,,,
676,Máquina,Remada,variacao-676-maquina,VALIDO,,,
677,Cavalinho,Remada,,SEM_MATCH,,,
678,Frontal aberta,Puxada,,SEM_MATCH,,,
679,Frontal fechada,Puxada,,SEM_MATCH,,,
680,Neutra,Puxada,,SEM_MATCH,,,
681,Supinada,Puxada,,SEM_MATCH,,,
682,Barra,Desenvolvimento,exercicios/gif/kforsznm3fkaez7zhxuz,VALIDO,,,
683,Halteres,Desenvolvimento,exercicios/gif/npb19i1ulkfmelg2vpxu,VALIDO,,,
684,Máquina,Desenvolvimento,exercicios/gif/desenvolvimento_de_ombros_na_maquina_smith,VALIDO,,,
685,Arnold,Desenvolvimento,variacao-685-arnold,VALIDO,,,
686,Halteres,Elevação lateral,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636048/exercicios/gif/variacao-686-halteres,VALIDO,,,
687,Polia,Elevação lateral,,SEM_MATCH,,,
688,Máquina,Elevação lateral,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636050/exercicios/gif/variacao-688-maquina,VALIDO,,,
689,Barra,Elevação frontal,exercicios/gif/hbzwz9mmwtuh2d5qezp5,VALIDO,,,
690,Halteres,Elevação frontal,,SEM_MATCH,,,
691,Polia,Elevação frontal,,SEM_MATCH,,,
692,Direta com barra,Rosca,exercicios/gif/qegbkm6qwgaqyfnkjpra,VALIDO,,,
693,Direta com halteres,Rosca,exercicios/gif/hdewbxm0etsfd6f57gw6,VALIDO,,,
694,Martelo,Rosca,exercicios/gif/jzf4ra9r3ogkuoaj50cg,VALIDO,,,
695,Scott,Rosca,exercicios/gif/qhpziupmyo5elumzgjhf,VALIDO,,,
696,No cabo,Rosca,,SEM_MATCH,,,
697,Concentrada,Rosca,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636055/exercicios/gif/variacao-697-concentrada,VALIDO,,,
698,Alternada,Rosca,Rosca_alternada_com_halteres_sentado,VALIDO,,,
699,Corda,Tríceps,exercicios/gif/bixzdykbncwyqaczbuwq,VALIDO,,,
700,Barra reta,Tríceps,exercicios/gif/triceps_pulley_barra_v,VALIDO,,,
701,Francês,Tríceps,variacao-701-frances,VALIDO,,,
702,Testa,Tríceps,variacao-702-testa,VALIDO,,,
703,Coice,Tríceps,exercicios/gif/eyjrw7ylqa1fyxsse895,VALIDO,,,
704,Banco,Tríceps,exercicios/gif/vj3ffm19bhjjun0gnbi1,VALIDO,,,
705,Barra,Elevação pélvica,exercicios/gif/kqbpmqv0vduspijtmxym,VALIDO,,,
706,Smith,Elevação pélvica,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636065/exercicios/gif/variacao-706-smith,VALIDO,,,
707,Unilateral,Elevação pélvica,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636066/exercicios/gif/variacao-707-unilateral,VALIDO,,,
708,Polia,Coice,exercicios/gif/mns8zoztdninoslpfbcf,VALIDO,,,
709,Máquina,Coice,variacao-709-maquina,VALIDO,,,
710,Máquina,Abdução,variacao-710-maquina,VALIDO,,,
711,Polia,Abdução,,SEM_MATCH,,,
712,Elástico,Abdução,,SEM_MATCH,,,
713,Em pé,Panturrilha,,SEM_MATCH,,,
714,Sentado,Panturrilha,variacao-714-sentado,VALIDO,,,
715,Leg press,Panturrilha,exercicios/gif/uhye3mtmaes0zeu9h1ny,VALIDO,,,
716,Smith,Panturrilha,exercicios/gif/dyqpnsnz3wn0avxmyrsj,VALIDO,,,
717,Livre,Agachamento,,SEM_MATCH,,,
718,Smith,Agachamento,exercicios/gif/iljaudkdredu0qpci1f0,VALIDO,,,
719,Frontal,Agachamento,,SEM_MATCH,,,
720,Hack,Agachamento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636080/exercicios/gif/variacao-720-hack,VALIDO,,,
721,Sumô,Agachamento,exercicios/gif/prk8vur4bdg8852p1o65,VALIDO,,,
722,45°,Leg press,exercicios/gif/oegbqjangrqxhtr2sfey,VALIDO,,,
723,Horizontal,Leg press,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636082/exercicios/gif/variacao-723-horizontal,VALIDO,,,
724,Unilateral,Leg press,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636084/exercicios/gif/variacao-724-unilateral,VALIDO,,,
725,Unilateral,Cadeira extensora,,SEM_MATCH,,,
726,Bilateral,Cadeira extensora,,SEM_MATCH,,,
727,Unilateral,Mesa flexora,exercicios/gif/ubtsc4vasfzbdhehxa7o,VALIDO,,,
728,Bilateral,Mesa flexora,Mesa_flexora,VALIDO,,,
729,Barra,Stiff,exercicios/gif/j1rtwwkdseyvqbblhm0s,VALIDO,,,
730,Halteres,Stiff,,SEM_MATCH,,,
731,Smith,Stiff,,SEM_MATCH,,,
732,Livre,Afundo,Agachamento_Búlgaro_com_Barra_izjZ3Fc,VALIDO,,,
733,Smith,Afundo,,SEM_MATCH,,,
734,Passada,Afundo,,SEM_MATCH,,,
736,Barra Fixa,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636087/exercicios/gif/variacao-736-barra-fixa,VALIDO,,,
737,Elevação De Panturrilha No Leg Press,Leg,exercicios/gif/sqlvi4shz9zzwvk0ec0x,VALIDO,,,
738,Agachamento Hack,Agachamento,exercicios/gif/agachamento_bulgaro_com_barra,VALIDO,,,
739,Máquina De Abdução De Quadril,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636091/exercicios/gif/variacao-739-maquina-de-abducao-de-quadril,VALIDO,,,
740,Agachamento Sumô Com Barra,Agachamento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636093/exercicios/gif/variacao-740-agachamento-sumo-com-barra,VALIDO,,,
741,Elevação Pélvica Na Máquina Smith,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636094/exercicios/gif/variacao-741-elevacao-pelvica-na-maquina-smith,VALIDO,,,
742,Tríceps Francês Com Halter Bilateral,Tríceps,exercicios/gif/extensao_de_triceps_com_haltere_em_pronacao_com_um_braco,VALIDO,,,
743,Crucifixo Com Halteres,Crucifixo,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636097/exercicios/gif/variacao-743-crucifixo-com-halteres,VALIDO,,,
744,Agachamento Sumô,Agachamento,exercicios/gif/vwd5ggpsjjmhzfjrzwre,VALIDO,,,
745,Agachamento No Smith,Agachamento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636099/exercicios/gif/variacao-745-agachamento-no-smith,VALIDO,,,
746,Levantamento Frontal Com Barra,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636101/exercicios/gif/variacao-746-levantamento-frontal-com-barra,VALIDO,,,
747,Tríceps Pulley Corda,Tríceps,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636102/exercicios/gif/variacao-747-triceps-pulley-corda,VALIDO,,,
748,Remada Sentada Com Cabo,Remada,exercicios/gif/g1aw8iwqj13ilvjg2vfp,VALIDO,,,
749,Elevação Pélvica Com Barra,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636105/exercicios/gif/variacao-749-elevacao-pelvica-com-barra,VALIDO,,,
750,Tríceps No Banco,Tríceps,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636106/exercicios/gif/variacao-750-triceps-no-banco,VALIDO,,,
751,Desenvolvimento,Desenvolvimento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636107/exercicios/gif/variacao-751-desenvolvimento,VALIDO,,,
752,Extensão De Tríceps Com Haltere Em Pronação Com Um Braço,Tríceps,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636108/exercicios/gif/variacao-752-extensao-de-triceps-com-haltere-em-pronacao-com-um-braco,VALIDO,,,
753,Rosca Bíceps Com Halteres,Rosca,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636110/exercicios/gif/variacao-753-rosca-biceps-com-halteres,VALIDO,,,
754,Elevação Lateral De Braços Com Halteres,Elevacao Lateral,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636111/exercicios/gif/variacao-754-elevacao-lateral-de-bracos-com-halteres,VALIDO,,,
755,Cadeira,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636113/exercicios/gif/variacao-755-cadeira,VALIDO,,,
756,Puxada Alta Com Triângulo,Puxada,exercicios/gif/puxada_alta,VALIDO,,,
757,Levantamento Frontal Com Anilha,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636115/exercicios/gif/variacao-757-levantamento-frontal-com-anilha,VALIDO,,,
758,Glúteos Coice Nilateral Polia Baixa,Glúteo,exercicios/gif/yfrqbpiuixgmpdaqqzp1,VALIDO,,,
759,Rosca Scott Com Barra W,Rosca,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636117/exercicios/gif/variacao-759-rosca-scott-com-barra-w,VALIDO,,,
760,Agachamento,Agachamento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636119/exercicios/gif/variacao-760-agachamento,VALIDO,,,
761,Mesa,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636120/exercicios/gif/variacao-761-mesa,VALIDO,,,
762,Máquina De Abdução,Outros,Máquina_de_Adução_de_Quadril_TZ95XQe,VALIDO,,,
763,Leg Press,Leg,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636122/exercicios/gif/variacao-763-leg-press,VALIDO,,,
764,Desenvolvimento De Ombro No Banco,Desenvolvimento,Desenvolvimento_de_Ombro_no_Banco_com_Halteres,VALIDO,,,
765,Adução Do Quadril Com Cabo,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636123/exercicios/gif/variacao-765-aducao-do-quadril-com-cabo,VALIDO,,,
766,Crucifixo,Crucifixo,exercicios/gif/ueua1mvwobgpfmxsm8be,VALIDO,,,
767,Mesa Flexora,Flexora,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636124/exercicios/gif/variacao-767-mesa-flexora,VALIDO,,,
768,Crucifixo Inclinado Cross,Crucifixo,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636126/exercicios/gif/variacao-768-crucifixo-inclinado-cross,VALIDO,,,
769,Elevação De Panturrilha No Smith,Panturrilha,exercicios/gif/cj8exw5pdsszq0tbxdzy,VALIDO,,,
770,Stiff Com Barra,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636129/exercicios/gif/variacao-770-stiff-com-barra,VALIDO,,,
771,Agachamento Búlgaro,Agachamento,Agachamento_Búlgaro_com_Halteres,VALIDO,,,
772,Desenvolvimento De Ombros Na Máquina Smith,Desenvolvimento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636131/exercicios/gif/variacao-772-desenvolvimento-de-ombros-na-maquina-smith,VALIDO,,,
773,Cadeira Flexora,Flexora,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636132/exercicios/gif/variacao-773-cadeira-flexora,VALIDO,,,
774,Rosca Direta Com Barra W,Rosca,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636133/exercicios/gif/variacao-774-rosca-direta-com-barra-w,VALIDO,,,
775,Elevação De Panturrilha Sentado Com Alavanca,Panturrilha,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636134/exercicios/gif/variacao-775-elevacao-de-panturrilha-sentado-com-alavanca,VALIDO,,,
776,Rosca Martelo Com Corda,Rosca,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636136/exercicios/gif/variacao-776-rosca-martelo-com-corda,VALIDO,,,
777,Levantamento Frontal Alternado Com Haltere,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636137/exercicios/gif/variacao-777-levantamento-frontal-alternado-com-haltere,VALIDO,,,
778,Rosca Concentrada,Rosca,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636138/exercicios/gif/variacao-778-rosca-concentrada,VALIDO,,,
779,Agachamento Com Halteres No Banco,Agachamento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636140/exercicios/gif/variacao-779-agachamento-com-halteres-no-banco,VALIDO,,,
780,Agachamento Búlgaro Com Barra,Agachamento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636141/exercicios/gif/variacao-780-agachamento-bulgaro-com-barra,VALIDO,,,
781,Leg Press Unilateral,Leg,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636143/exercicios/gif/variacao-781-leg-press-unilateral,VALIDO,,,
782,Desenvolvimento De Ombros Na Máquina,Desenvolvimento,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636144/exercicios/gif/variacao-782-desenvolvimento-de-ombros-na-maquina,VALIDO,,,
783,Levantamento Frontal Alternado Com Haltere Sentado,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636146/exercicios/gif/variacao-783-levantamento-frontal-alternado-com-haltere-sentado,VALIDO,,,
784,Tríceps Coice,Tríceps,Tríceps_Coice_com_Halteres,VALIDO,,,
785,Glúteo Coice Na Máquina,Glúteo,Glúteo_Coice_Na_Máquina,VALIDO,,,
786,Levantamento Frontal Unilateral Com Cabo,Outros,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636147/exercicios/gif/variacao-786-levantamento-frontal-unilateral-com-cabo,VALIDO,,,
787,Máquina De Adução,Outros,Máquina_de_Adução_de_Quadril,VALIDO,,,
788,Elevação Lateral Unilateral Com Cabo,Elevacao Lateral,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636148/exercicios/gif/variacao-788-elevacao-lateral-unilateral-com-cabo,VALIDO,,,
