id,exercicio,variacao,match
666,Supino,Reto halter,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
668,Supino,Inclinado halter,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Supino em Pé com Faixa Elástica.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinada com alavanca.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado com Halteres.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
672,Crucifixo,Máquina,media\exercicios\GIFS ABDOMINAIS\Elevação de Pernas na máquina.gif;media\exercicios\GIFS ABDOMINAIS\Giro com Barra na Máquina Landmine.gif;media\exercicios\GIFS ABDOMINAIS\Máquina Abdominal Coaster.gif;media\exercicios\GIFS ABDOMINAIS\Máquina de Abdominais Sentado.gif;media\exercicios\GIFS ABDOMINAIS\Máquina de abdominal completo.gif
673,Crucifixo,Cross (cabo),media\exercicios\GIFS ACADEMIA\OMBROS\Crucifixo inverso unilateral com cabo.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo com Cabo Declinado.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo com Halteres Declinado.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo com Halteres Inclinado.gif;media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo com halteres.gif
675,Remada,Unilateral halter,media\exercicios\GIFS CALISTENIA\Remada com o Peso do Corpo na Porta.gif;media\exercicios\GIFS CROSSFIT\Remada com barra curvada para trás.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada com banda de resistência curvada para deltoides posterior.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada sentada com faixa.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada unilateral com gymstick.gif
677,Remada,Cavalinho,media\exercicios\GIFS CALISTENIA\Remada com o Peso do Corpo na Porta.gif;media\exercicios\GIFS CROSSFIT\Remada com barra curvada para trás.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada com banda de resistência curvada para deltoides posterior.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada sentada com faixa.gif;media\exercicios\GIFS TREINAMENTO FUNCIONAL\Remada unilateral com gymstick.gif
678,Puxada,Frontal aberta,media\exercicios\GIFS ABDOMINAIS\Elevação de Joelhos com Puxada de Pernas.gif;media\exercicios\GIFS ABDOMINAIS\Puxada de Pernas Sentado em Banco.gif;media\exercicios\GIFS CALISTENIA\Puxada escapular na barra fixa.gif;media\exercicios\GIFS CALISTENIA\Puxada Front Lever.gif;media\exercicios\GIFS CALISTENIA\Puxada isométrica.gif
679,Puxada,Frontal fechada,media\exercicios\GIFS ABDOMINAIS\Elevação de Joelhos com Puxada de Pernas.gif;media\exercicios\GIFS ABDOMINAIS\Puxada de Pernas Sentado em Banco.gif;media\exercicios\GIFS CALISTENIA\Puxada escapular na barra fixa.gif;media\exercicios\GIFS CALISTENIA\Puxada Front Lever.gif;media\exercicios\GIFS CALISTENIA\Puxada isométrica.gif
680,Puxada,Neutra,media\exercicios\GIFS ABDOMINAIS\Elevação de Joelhos com Puxada de Pernas.gif;media\exercicios\GIFS ABDOMINAIS\Puxada de Pernas Sentado em Banco.gif;media\exercicios\GIFS CALISTENIA\Puxada escapular na barra fixa.gif;media\exercicios\GIFS CALISTENIA\Puxada Front Lever.gif;media\exercicios\GIFS CALISTENIA\Puxada isométrica.gif
681,Puxada,Supinada,media\exercicios\GIFS ABDOMINAIS\Elevação de Joelhos com Puxada de Pernas.gif;media\exercicios\GIFS ABDOMINAIS\Puxada de Pernas Sentado em Banco.gif;media\exercicios\GIFS CALISTENIA\Puxada escapular na barra fixa.gif;media\exercicios\GIFS CALISTENIA\Puxada Front Lever.gif;media\exercicios\GIFS CALISTENIA\Puxada isométrica.gif
