id,variacao_nome,exercicio,arquivo_gif,score,resultado,url_salva,detalhe,timestamp
835,Crucifixo Deitado Com Cabo,Crucifixo,PEITORAL/Crucifixo Deitado com Cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490477/exercicios/gif/variacao-835.gif,,2026-06-03T09:41:18
842,Cross Over Polia Baixa,Cross Over,PEITORAL/Cross over polia baixa.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490478/exercicios/gif/variacao-842.gif,,2026-06-03T09:41:19
843,Supino Declinado Na Máquina Smith,Supino,PEITORAL/Supino declinado na máquina Smith.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490480/exercicios/gif/variacao-843.gif,,2026-06-03T09:41:21
844,Supino Inclinado Com Cabo,Supino,PEITORAL/Supino inclinado com cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490481/exercicios/gif/variacao-844.gif,,2026-06-03T09:41:22
845,Crucifixo Unilateral Em Declinado Com Cabo,Crucifixo,PEITORAL/Crucifixo Unilateral em Declinado com Cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490482/exercicios/gif/variacao-845.gif,,2026-06-03T09:41:23
848,Supino Inclinado Com Halteres Em,Supino,PEITORAL/Supino Inclinado com Halteres.gif,0.9508,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490483/exercicios/gif/variacao-848.gif,,2026-06-03T09:41:24
850,Crossover Unilateral Com Cabo,Cross Over,PEITORAL/Crossover Unilateral com Cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490485/exercicios/gif/variacao-850.gif,,2026-06-03T09:41:26
853,Anilha Press,Outros,PEITORAL/Anilha Press.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490486/exercicios/gif/variacao-853.gif,,2026-06-03T09:41:27
855,Crossover De Peitoral Superior Com Cabo,Cross Over,PEITORAL/Crossover de peitoral superior com cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490487/exercicios/gif/variacao-855.gif,,2026-06-03T09:41:28
856,Cross Over Polia Alta,Cross Over,PEITORAL/Cross over polia Alta.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490488/exercicios/gif/variacao-856.gif,,2026-06-03T09:41:29
861,Pullover Com Cabo,Outros,COSTAS/Pullover com Cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490489/exercicios/gif/variacao-861.gif,,2026-06-03T09:41:30
862,Puxada Alta Na Polia Nuca,Puxada,COSTAS/Puxada alta na polia nuca.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490490/exercicios/gif/variacao-862.gif,,2026-06-03T09:41:31
863,Remada Unilateral Com Barra,Remada,COSTAS/Remada Unilateral com Barra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490491/exercicios/gif/variacao-863.gif,,2026-06-03T09:41:32
866,Pullover Com Barra,Outros,COSTAS/Pullover com Barra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490492/exercicios/gif/variacao-866.gif,,2026-06-03T09:41:33
868,Levantamento Terra,Outros,COSTAS/Levantamento Terra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490494/exercicios/gif/variacao-868.gif,,2026-06-03T09:41:34
869,Puxada Em Pé Com Torção No Cabo,Puxada,COSTAS/Puxada em Pé com Torção no Cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490495/exercicios/gif/variacao-869.gif,,2026-06-03T09:41:35
870,Puxada Alta Neutra Com Cabos Duplos No Chão,Puxada,COSTAS/Puxada Alta Neutra com Cabos Duplos no Chão.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490496/exercicios/gif/variacao-870.gif,,2026-06-03T09:41:37
873,Pull Up,Outros,COSTAS/Pull Up.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490497/exercicios/gif/variacao-873.gif,,2026-06-03T09:41:38
874,Puxada Alta Na Máquina Nuca,Puxada,COSTAS/Puxada alta na Máquina Nuca.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490498/exercicios/gif/variacao-874.gif,,2026-06-03T09:41:39
875,Pulldown Inclinado Com Corda,Outros,COSTAS/Pulldown inclinado com corda.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490500/exercicios/gif/variacao-875.gif,,2026-06-03T09:41:41
876,Remada Sentada Com Corda Na Polia,Remada,COSTAS/Remada Sentada com Corda na Polia.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490502/exercicios/gif/variacao-876.gif,,2026-06-03T09:41:42
877,Máquina De Remo,Outros,COSTAS/Máquina de remo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490503/exercicios/gif/variacao-877.gif,,2026-06-03T09:41:43
879,Remada Unilateral Com Cabo,Remada,COSTAS/Remada Unilateral com Cabo.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490504/exercicios/gif/variacao-879.gif,,2026-06-03T09:41:44
884,Stiff Unilateral Com Barra,Outros,PERNAS/Stiff Unilateral com Barra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490505/exercicios/gif/variacao-884.gif,,2026-06-03T09:41:46
885,Ponte De Glúteos Com Barra,Glúteo,PERNAS/Ponte de Glúteos com Barra.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490506/exercicios/gif/variacao-885.gif,,2026-06-03T09:41:47
886,Agachamento Com Cinto,Agachamento,PERNAS/Agachamento com Cinto.gif,1.0000,SUCESSO,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490507/exercicios/gif/variacao-886.gif,,2026-06-03T09:41:48
