id,exercicio,variacao
666,Supino,Reto halter
672,Crucifixo,Máquina
673,Crucifixo,Cross (cabo)
675,Remada,Unilateral halter
677,Remada,Cavalinho
678,Puxada,Frontal aberta
679,Puxada,Frontal fechada
680,Puxada,Neutra
681,Puxada,Supinada
687,Elevação lateral,Polia
690,Elevação frontal,Halteres
691,Elevação frontal,Polia
696,Rosca,No cabo
711,Abdução,Polia
712,Abdução,Elástico
713,Panturrilha,Em pé
717,Agachamento,Livre
719,Agachamento,Frontal
725,Cadeira extensora,Unilateral
726,Cadeira extensora,Bilateral
730,Stiff,Halteres
731,Stiff,Smith
733,Afundo,Smith
734,Afundo,Passada
1163,Abdominal,Abdominal Com Joelhos
841,Supino,Supino Inclinado
834,Supino,Supino Inclinado Com Halteres E Pegada
836,Supino,Supino Declinada
837,Outros,Pullover Com Halteres Na Bola
838,Supino,Supino Pegada
839,Outros,Mergulho De Peito
1164,Abdominal,Abdominal Com Bola
846,Supino,Supino Invertido Com Pegada
847,Supino,Supino Unilateral
849,Supino,Supino Declinado Pegada
851,Cross Over,Crossover
852,Supino,Supino Declinado Unilateral Pegada Martelo
854,Crucifixo,Crucifixo Com Cabo
857,Supino,Supino Declinado
858,Supino,Supino Unilateral Com Halteres Com Pegada
859,Supino,Supino Inclinado Com Pegada
860,Puxada,Puxada Alta Com Um Joelho
864,Remada,Remada T Invertida
865,Outros,Pullover Na Máquina
867,Remada,Remada
871,Remada,Remada T
872,Outros,Pullover Com Barra W Pegada
878,Puxada,Puxada Na Polia Alta Com Pegada
880,Outros,Pullover Com Barra No Banco
881,Puxada,Puxada Alta Unilateral Alta
882,Agachamento,Agachamento Com Salto Usando Barra
883,Outros,Flexão De Pernas Na Bola
891,Outros,Avanço Invertido
892,Agachamento,Agachamento Goblet
895,Outros,Elevação De Perna Em Pé
897,Outros,Elevação De Joelho
899,Outros,Stiff Unilateral
900,Outros,Elevação Com Barra Em
901,Outros,Extensão De Perna
902,Outros,Wall Sit
904,Outros,Subida No Step Com Elevação
905,Outros,Afundo
906,Outros,Flexão De Pernas
907,Leg Press,Leg Press
908,Outros,Flexão De Pernas Com Halteres
1165,Abdominal,Abdominal Com Braços
910,Agachamento,Agachamento Unilateral Cruzado
911,Outros,Pressão Unilateral Assistida Por
916,Tríceps Francês,Tríceps Francês
917,Tríceps,Extensão De Tríceps Com Cabo Em Posição
923,Tríceps,Extensão De Tríceps Com Cabo
924,Tríceps Francês,Tríceps Francês Alternada Com Halteres No Banco
925,Outros,Extensão Concentrada Com Cabo
928,Tríceps Francês,Tríceps Francês Com Halter
929,Tríceps,Extensão De Tríceps Invertida
930,Tríceps,Extensão De Tríceps Com Barra W
935,Tríceps Testa,Tríceps Testa Pegada Neutra
936,Tríceps Testa,Tríceps Testa Com Barra Pegada
937,Tríceps,Tríceps Pulley Pegada
938,Supino,Supino
942,Tríceps Testa,Extensão De Tríceps Testa Declinado
943,Tríceps Testa,Tríceps Testa Com Banco Declinado
944,Tríceps,Extensão De Tríceps Com Pegada
946,Tríceps Francês,Tríceps Francês Com Barra W Acima Da Cabeça
947,Tríceps,Extensão De Tríceps Com Cabo Na Posição
948,Tríceps,Extensão De Tríceps Na Máquina Pegada
949,Tríceps Francês,Tríceps Francês No Banco Inclinado
950,Tríceps,Extensão De Tríceps No Cabo
953,Elevação Lateral,Elevação Lateral Unilateral
954,Remada,Remada De Deltoide Posterior Sentado
955,Elevação Lateral,Elevação Lateral Com Braço
956,Desenvolvimento,Desenvolvimento De Ombros Com Barra W Com Pegada
958,Desenvolvimento,Desenvolvimento Cubano Sentado
960,Remada,Remada Inversa Com Cabos
962,Elevação Lateral,Elevação Lateral De Halteres
963,Elevação Lateral,Elevação Lateral Alternada
965,Elevação Lateral,Elevação Lateral Cruzada
966,Remada,Remada Lateral Com Halteres
967,Desenvolvimento,Desenvolvimento Militar Com Pegada
970,Desenvolvimento,Desenvolvimento Militar Com Barra No Chão
971,Elevação Lateral,Elevação Lateral E Frontal
973,Elevação Lateral,Elevação Lateral Unilateral Com Haltere
974,Elevação Lateral,Elevação Lateral De Braços
978,Outros,Elevação Frontal Com Barra
984,Outros,Elevação Frontal Com Barra W
988,Outros,Elevação Frontal
991,Elevação Lateral,Elevação Lateral
993,Desenvolvimento,Desenvolvimento De Ombro Com Barra
994,Remada,Remada Com Halteres Para A Posterior
995,Desenvolvimento,Desenvolvimento De Ombro
996,Desenvolvimento,Desenvolvimento De Ombros Com Rotação Alternada
997,Outros,Elevação Frontal Alternada
998,Outros,Voador
999,Desenvolvimento,Desenvolvimento De Ombro Alternada Em Pé
1001,Elevação Lateral,Elevação Lateral Com Tronco
1002,Desenvolvimento,Desenvolvimento Cubano
1003,Elevação Lateral,Elevação Lateral Com Halteres Para Deltoides Posteriores
1004,Outros,Elevação Frontal Com Dois Braços
1006,Desenvolvimento,Desenvolvimento De Ombro Unilateral
1007,Elevação Lateral,Elevação Lateral Com Halteres
1009,Desenvolvimento,Desenvolvimento Militar De Uma Mão
1010,Outros,Levantamento De Halteres De 3
1011,Desenvolvimento,Desenvolvimento De Ombros Atrás Do Pescoço
1015,Outros,Máquina Simulador
1018,Outros,Bicicleta Ergométrica
1024,Outros,Elevação
1030,Panturrilha,Levantamento De Panturrilha Com Apoio E
1293,Outros,Flexão De Diamante
1039,Agachamento,Agachamento Com Sustentação E Elevação
1040,Panturrilha,Levantamento De Panturrilha
1041,Rosca,Rosca Concentrada Com Pegada Fechada
1043,Rosca,Máquina De Rosca
1045,Rosca,Rosca Inversa
1048,Rosca,Rosca Direta Com Cabo
1053,Rosca,Rosca Bíceps Alta
1056,Outros,Extensão De Quadril Em Pé
1058,Outros,Quatro
1060,Outros,Ponte
1061,Glúteo,Glúteo Coice Na Máquina De Extensão
1062,Outros,Extensão De Perna Na Máquina Smith
1063,Outros,Elevação Pélvica Na Máquina De Extensão
1064,Agachamento,Agachamento Na Máquina
1066,Outros,Abdução Lateral Do Quadril
1067,Puxada,Puxada De Cabo
1069,Glúteo,Glúteo Coice
1071,Outros,Crunch En Banco
1072,Outros,V-Up Com Bola
1077,Outros,Torção Com Tronco
1079,Outros,Torção Com Cabo
1080,Outros,Toques Nos Dedos Com O Corpo
1083,Outros,Tesoura
1084,Outros,Toque
1087,Prancha,Prancha Joelho Ao
1088,Prancha,Prancha Com Movimento
1090,Outros,Torção Com Barra
