id,exercicio,variacao,score,gif_origem,gif_name
1163,Abdominal,Abdominal Com Joelhos,88.14,1160,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490696/exercicios/gif/variacao-1160.gif
840,Supino,Supino Inclinado Na Máquina Com Pegada,91.84,1408,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490870/exercicios/gif/variacao-1408.gif
834,Supino,Supino Inclinado Com Halteres E Pegada,91.84,1402,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490862/exercicios/gif/variacao-1402.gif
838,Supino,Supino Pegada,90.91,810,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636174/exercicios/gif/variacao-810-supino-com-pegada.gif
846,Supino,Supino Invertido Com Pegada,90.67,1410,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490872/exercicios/gif/variacao-1410.gif
849,Supino,Supino Declinado Pegada,88.24,1414,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490877/exercicios/gif/variacao-1414.gif
852,Supino,Supino Declinado Unilateral Pegada Martelo,89.09,1416,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490879/exercicios/gif/variacao-1416.gif
854,Crucifixo,Crucifixo Com Cabo,87.5,835,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490477/exercicios/gif/variacao-835.gif
857,Supino,Supino Declinado,86.36,1487,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490970/exercicios/gif/variacao-1487.gif
858,Supino,Supino Unilateral Com Halteres Com Pegada,92.31,1423,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490889/exercicios/gif/variacao-1423.gif
859,Supino,Supino Inclinado Com Pegada,89.47,1424,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490891/exercicios/gif/variacao-1424.gif
860,Puxada,Puxada Alta Com Um Joelho,88.89,1425,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490892/exercicios/gif/variacao-1425.gif
864,Remada,Remada T Invertida,95.83,1432,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490901/exercicios/gif/variacao-1432.gif
878,Puxada,Puxada Na Polia Alta Com Pegada,90.48,1439,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490910/exercicios/gif/variacao-1439.gif
881,Puxada,Puxada Alta Unilateral Alta,87.18,1443,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490915/exercicios/gif/variacao-1443.gif
882,Agachamento,Agachamento Com Salto Usando Barra,90.2,1448,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490921/exercicios/gif/variacao-1448.gif
892,Agachamento,Agachamento Goblet,86.79,760,https://res.cloudinary.com/dkdpsbvri/image/upload/v1779636119/exercicios/gif/variacao-760-agachamento.gif
895,Outros,Elevação De Perna Em Pé,87.27,1617,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491141/exercicios/gif/variacao-1617.gif
900,Outros,Elevação Com Barra Em,88.89,1464,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490941/exercicios/gif/variacao-1464.gif
906,Outros,Flexão De Pernas,87.5,1617,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780491141/exercicios/gif/variacao-1617.gif
908,Outros,Flexão De Pernas Com Halteres,87.8,1472,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490948/exercicios/gif/variacao-1472.gif
910,Agachamento,Agachamento Unilateral Cruzado,87.5,1473,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490950/exercicios/gif/variacao-1473.gif
911,Outros,Pressão Unilateral Assistida Por,89.66,1474,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490952/exercicios/gif/variacao-1474.gif
917,Tríceps,Extensão De Tríceps Com Cabo Em Posição,90.38,1476,https://res.cloudinary.com/dkdpsbvri/image/upload/v1780490954/exercicios/gif/variacao-1476.gif
