id,exercicio,variacao,score,gif_sugerido
666,Supino,Reto halter,63.829787234042556,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Inclinado com Halteres.gif
668,Supino,Inclinado halter,88.46153846153845,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Inclinado com Halteres.gif
672,Crucifixo,Máquina,57.77777777777777,media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo com Cabo Declinado.gif
673,Crucifixo,Cross (cabo),70.83333333333333,media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo Deitado com Cabo.gif
675,Remada,Unilateral halter,81.35593220338984,media\exercicios\GIFS ACADEMIA\TRAPÉZIO\Remada alta com halteres unilateral.gif
677,Remada,Cavalinho,64.86486486486487,media\exercicios\GIFS ACADEMIA\COSTAS\Remada T com alavanca.gif
678,Puxada,Frontal aberta,66.66666666666667,media\exercicios\GIFS CALISTENIA\Puxada Front Lever.gif
679,Puxada,Frontal fechada,65.0,media\exercicios\GIFS CALISTENIA\Puxada Front Lever.gif
680,Puxada,Neutra,75.0,media\exercicios\GIFS ACADEMIA\COSTAS\Puxada Alta.gif
681,Puxada,Supinada,55.55555555555556,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino pegada martelo.gif
687,Elevação lateral,Polia,77.55102040816327,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação lateral na máquina.gif
690,Elevação frontal,Halteres,92.5925925925926,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação frontal com halteres.gif
691,Elevação frontal,Polia,70.58823529411764,media\exercicios\GIFS ACADEMIA\OMBROS\Elevação frontal com halteres.gif
696,Rosca,No cabo,100.0,media\exercicios\GIFS ACADEMIA\BÍCEPS\Rosca no Cabo.gif
711,Abdução,Polia,53.65853658536586,media\exercicios\GIFS ACADEMIA\GLÚTEOS\Abdução de Quadril com Ponte.gif
712,Abdução,Elástico,60.60606060606061,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Step com elástico.gif
713,Panturrilha,Em pé,97.14285714285714,media\exercicios\GIFS ACADEMIA\PANTURRILHAS\Panturrilhas em Pé.gif
717,Agachamento,Livre,78.57142857142857,media\exercicios\GIFS CALISTENIA\Agachamento.gif
719,Agachamento,Frontal,100.0,media\exercicios\GIFS ACADEMIA\PERNAS\Agachamento Frontal.gif
725,Cadeira extensora,Unilateral,82.14285714285714,media\exercicios\GIFS ACADEMIA\PERNAS\Extensão de Perna Unilateral.gif
726,Cadeira extensora,Bilateral,77.27272727272727,media\exercicios\GIFS ACADEMIA\PERNAS\Cadeira extensora.gif
730,Stiff,Halteres,80.0,media\exercicios\GIFS ACADEMIA\PERNAS\Stiff com Halter.gif
731,Stiff,Smith,59.25925925925925,media\exercicios\GIFS ACADEMIA\PERNAS\Stiff com Halter.gif
733,Afundo,Smith,61.53846153846154,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo Lateral.gif
734,Afundo,Passada,64.28571428571428,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Afundo Lateral.gif
1163,Abdominal,Abdominal Com Joelhos,91.52542372881356,media\exercicios\GIFS ABDOMINAIS\Abdominal com Rolo Abdominal.gif
840,Supino,Supino Inclinado Na Máquina Com Pegada,83.51648351648352,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Inclinado na Máquina com Pegada Martelo.gif
841,Supino,Supino Inclinado,70.58823529411764,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Inclinado na Alavanca.gif
834,Supino,Supino Inclinado Com Halteres E Pegada,83.51648351648352,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino inclinado com halteres e pegada fechada.gif
836,Supino,Supino Declinada,67.85714285714286,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif
837,Outros,Pullover Com Halteres Na Bola,71.60493827160495,media\exercicios\GIFS ACADEMIA\PEITORAL\Pullover com Halteres na Bola de Estabilidade.gif
838,Supino,Supino Pegada,64.70588235294117,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Supino Fechado.gif
839,Outros,Mergulho De Peito,69.76744186046511,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Mergulho de tríceps.gif
1164,Abdominal,Abdominal Com Bola,82.14285714285714,media\exercicios\GIFS ABDOMINAIS\Abdominal com Rolo Abdominal.gif
846,Supino,Supino Invertido Com Pegada,79.41176470588236,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino invertido com pegada aberta.gif
847,Supino,Supino Unilateral,74.07407407407408,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino unilateral com Alavanca.gif
849,Supino,Supino Declinado Pegada,75.40983606557377,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado pegada martelo.gif
851,Cross Over,Crossover,61.224489795918366,media\exercicios\GIFS ACADEMIA\PEITORAL\Crossover Unilateral com Cabo.gif
852,Supino,Supino Declinado Unilateral Pegada Martelo,81.55339805825243,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Declinado Unilateral Pegada Martelo com Haltere.gif
854,Crucifixo,Crucifixo Com Cabo,78.57142857142857,media\exercicios\GIFS ACADEMIA\PEITORAL\Crucifixo com Cabo Declinado.gif
857,Supino,Supino Declinado,71.42857142857143,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino declinado na máquina Smith.gif
858,Supino,Supino Unilateral Com Halteres Com Pegada,88.65979381443299,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino Unilateral com Halteres com Pegada Reversa.gif
859,Supino,Supino Inclinado Com Pegada,78.26086956521739,media\exercicios\GIFS ACADEMIA\PEITORAL\Supino inclinado com pegada fechada.gif
860,Puxada,Puxada Alta Com Um Joelho,76.92307692307692,media\exercicios\GIFS ACADEMIA\COSTAS\Puxada Alta com Um Joelho Apoiado.gif
864,Remada,Remada T Invertida,78.04878048780488,media\exercicios\GIFS ACADEMIA\COSTAS\Remada Invertida.gif
865,Outros,Pullover Na Máquina,66.66666666666667,media\exercicios\GIFS ACADEMIA\COSTAS\Pullover na Máquina de Alavanca.gif
867,Remada,Remada,68.96551724137932,media\exercicios\GIFS ACADEMIA\COSTAS\Remada Invertida.gif
871,Remada,Remada T,66.66666666666667,media\exercicios\GIFS ACADEMIA\COSTAS\Remada T com Landmine.gif
872,Outros,Pullover Com Barra W Pegada,81.69014084507043,media\exercicios\GIFS ACADEMIA\COSTAS\Pullover com Barra W Pegada invertida.gif
878,Puxada,Puxada Na Polia Alta Com Pegada,80.51948051948052,media\exercicios\GIFS ACADEMIA\COSTAS\Puxada na Polia Alta com Pegada Fechada.gif
880,Outros,Pullover Com Barra No Banco,81.69014084507043,media\exercicios\GIFS ACADEMIA\COSTAS\Pullover com barra no banco declinado.gif
881,Puxada,Puxada Alta Unilateral Alta,81.69014084507043,media\exercicios\GIFS ACADEMIA\COSTAS\Puxada alta unilateral alta ajoelhada.gif
882,Agachamento,Agachamento Com Salto Usando Barra,75.55555555555556,media\exercicios\GIFS CROSSFIT\Agachamento com Salto usando Barra Hexagonal.gif
883,Outros,Flexão De Pernas Na Bola,67.6056338028169,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Flexão de Pernas na Bola de Estabilidade.gif
891,Outros,Avanço Invertido,61.53846153846154,media\exercicios\GIFS ACADEMIA\OMBROS\Voador invertido.gif
892,Agachamento,Agachamento Goblet,70.58823529411764,media\exercicios\GIFS ACADEMIA\PERNAS\Agachamento com Cinto.gif
895,Outros,Elevação De Perna Em Pé,74.57627118644068,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Elevação de panturrilha em pé.gif
897,Outros,Elevação De Joelho,71.42857142857143,media\exercicios\GIFS CALISTENIA\Flexão de joelhos.gif
899,Outros,Stiff Unilateral,80.76923076923077,media\exercicios\GIFS ACADEMIA\PERNAS\Stiff Unilateral com Halteres.gif
900,Outros,Elevação Com Barra Em,75.0,media\exercicios\GIFS ACADEMIA\PERNAS\Elevação com Barra em Degrau.gif
901,Outros,Extensão De Perna,65.38461538461539,media\exercicios\GIFS ACADEMIA\PERNAS\Extensão de Perna Unilateral.gif
902,Outros,Wall Sit,69.56521739130434,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Wall Sit.gif
904,Outros,Subida No Step Com Elevação,77.77777777777779,media\exercicios\GIFS TREINAMENTO FUNCIONAL\Subida no Step com Elevação de Joelhos.gif
905,Outros,Afundo,68.75,media\exercicios\GIFS ACADEMIA\PERNAS\Afundo com Halteres.gif
906,Outros,Flexão De Pernas,68.29268292682926,media\exercicios\GIFS ABDOMINAIS\Elevação de Pernas.gif
907,Leg Press,Leg Press,56.41025641025641,media\exercicios\GIFS ACADEMIA\PERNAS\Leg Press Horizontal.gif
908,Outros,Flexão De Pernas Com Halteres,78.48101265822784,media\exercicios\GIFS ACADEMIA\ANTEBRAÇO\Flexão de Pulso Neutra Sentado com Halteres.gif
1165,Abdominal,Abdominal Com Braços,79.3103448275862,media\exercicios\GIFS ABDOMINAIS\Abdominal com Rolo Abdominal.gif
910,Agachamento,Agachamento Unilateral Cruzado,78.57142857142857,media\exercicios\GIFS ACADEMIA\PERNAS\Agachamento unilateral cruzado com haltere.gif
911,Outros,Pressão Unilateral Assistida Por,80.0,media\exercicios\GIFS ACADEMIA\PERNAS\Pressão Unilateral Assistida por Alavanca.gif
916,Tríceps Francês,Tríceps Francês,74.57627118644068,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Francês com Halteres.gif
917,Tríceps,Extensão De Tríceps Com Cabo Em Posição,81.25,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de Tríceps com Cabo em Posição Ajoelhada.gif
923,Tríceps,Extensão De Tríceps Com Cabo,86.11111111111111,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps lateral com cabo.gif
924,Tríceps Francês,Tríceps Francês Alternada Com Halteres No Banco,80.0,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Francês Alternada com Halteres no Banco Inclinado.gif
925,Outros,Extensão Concentrada Com Cabo,85.33333333333333,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão Concentrada com Cabo no Joelho.gif
928,Tríceps Francês,Tríceps Francês Com Halter,80.0,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Francês com Halteres.gif
929,Tríceps,Extensão De Tríceps Invertida,80.51948051948052,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps com pegada invertida.gif
930,Tríceps,Extensão De Tríceps Com Barra W,83.78378378378379,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps com barra em pé.gif
935,Tríceps Testa,Tríceps Testa Pegada Neutra,66.66666666666667,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps testa pegada neutra com halteres.gif
936,Tríceps Testa,Tríceps Testa Com Barra Pegada,71.42857142857143,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Testa com Barra Pegada Invertida.gif
937,Tríceps,Tríceps Pulley Pegada,70.58823529411764,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Pulley barra V.gif
938,Supino,Supino,59.25925925925925,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Supino Fechado.gif
942,Tríceps Testa,Extensão De Tríceps Testa Declinado,82.6086956521739,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de Tríceps Testa Declinado Fechado.gif
943,Tríceps Testa,Tríceps Testa Com Banco Declinado,79.56989247311827,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps Testa com Banco Declinado com Halteres.gif
944,Tríceps,Extensão De Tríceps Com Pegada,76.92307692307692,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps com pegada invertida.gif
946,Tríceps Francês,Tríceps Francês Com Barra W Acima Da Cabeça,83.63636363636364,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Tríceps francês com barra W acima da cabeça sentado.gif
947,Tríceps,Extensão De Tríceps Com Cabo Na Posição,80.41237113402062,media\exercicios\GIFS ACADEMIA\TRÍCEPS\Extensão de tríceps com cabo na posição horizontal.gif
